species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Gentoo,Biscoe,48.2,15.6,221,5100,male,2008
Adelie,Biscoe,37.8,18.3,174,3400,female,2007
Adelie,Biscoe,40.1,18.9,188,4300,male,2008
Adelie,Torgersen,35.5,17.5,190,3700,female,2008
Gentoo,Biscoe,49.5,16.1,224,5650,male,2009
Adelie,Biscoe,38.1,16.5,198,3825,female,2009
Adelie,Biscoe,37.9,18.6,193,2925,female,2009
Gentoo,Biscoe,NA,NA,NA,NA,NA,2009
Chinstrap,Dream,52.8,20,205,4550,male,2008
Adelie,Dream,41.1,18.1,205,4300,male,2008
Adelie,Biscoe,37.9,18.6,172,3150,female,2007
Adelie,Dream,40.9,18.9,184,3900,male,2007
Chinstrap,Dream,46.5,17.9,192,3500,female,2007
Adelie,Dream,36,17.8,195,3450,female,2009
Adelie,Torgersen,35.7,17,189,3350,female,2009
Adelie,Torgersen,35.2,15.9,186,3050,female,2009
Adelie,Biscoe,35.9,19.2,189,3800,female,2007
Gentoo,Biscoe,48.6,16,230,5800,male,2008
Adelie,Dream,44.1,19.7,196,4400,male,2007
Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
Adelie,Biscoe,38.8,17.2,180,3800,male,2007
Adelie,Biscoe,42.2,19.5,197,4275,male,2009
Adelie,Biscoe,37.7,18.7,180,3600,male,2007
Adelie,Biscoe,39.7,17.7,193,3200,female,2009
Chinstrap,Dream,46.4,17.8,191,3700,female,2008
Gentoo,Biscoe,50,16.3,230,5700,male,2007
Gentoo,Biscoe,50.7,15,223,5550,male,2008
Adelie,Biscoe,35,17.9,190,3450,female,2008
Gentoo,Biscoe,53.4,15.8,219,5500,male,2009
Adelie,Torgersen,38.6,21.2,191,3800,male,2007
Gentoo,Biscoe,47.5,15,218,4950,female,2009
Gentoo,Biscoe,54.3,15.7,231,5650,male,2008
Adelie,Dream,40.6,17.2,187,3475,male,2009
Chinstrap,Dream,55.8,19.8,207,4000,male,2009
Gentoo,Biscoe,55.9,17,228,5600,male,2009
Gentoo,Biscoe,50.5,15.2,216,5000,female,2009
Adelie,Torgersen,41.4,18.5,202,3875,male,2009
Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
Adelie,Torgersen,42.9,17.6,196,4700,male,2008
Adelie,Dream,39.6,18.8,190,4600,male,2007
Gentoo,Biscoe,46.4,15.6,221,5000,male,2008
Chinstrap,Dream,52,18.1,201,4050,male,2007
Gentoo,Biscoe,43.3,14,208,4575,female,2009
Chinstrap,Dream,50.9,17.9,196,3675,female,2009
Adelie,Dream,36,18.5,186,3100,female,2007
Gentoo,Biscoe,46.8,14.3,215,4850,female,2009
Adelie,Torgersen,40.6,19,199,4000,male,2009
Chinstrap,Dream,51.9,19.5,206,3950,male,2009
Adelie,Dream,37.8,18.1,193,3750,male,2009
Adelie,Dream,37.5,18.5,199,4475,male,2009
Adelie,Biscoe,38.6,17.2,199,3750,female,2009
Adelie,Torgersen,39.1,18.7,181,3750,male,2007
Gentoo,Biscoe,47.5,14.2,209,4600,female,2008
Adelie,Biscoe,39.6,17.7,186,3500,female,2008
Chinstrap,Dream,40.9,16.6,187,3200,female,2008
Adelie,Torgersen,39.2,19.6,195,4675,male,2007
Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
Adelie,Dream,34,17.1,185,3400,female,2008
Adelie,Dream,35.6,17.5,191,3175,female,2009
Adelie,Dream,36.3,19.5,190,3800,male,2008
Gentoo,Biscoe,44.5,14.7,214,4850,female,2009
Gentoo,Biscoe,52.1,17,230,5550,male,2009
Gentoo,Biscoe,50,15.9,224,5350,male,2009
Adelie,Dream,41.1,19,182,3425,male,2007
Adelie,Biscoe,37.6,19.1,194,3750,male,2008
Adelie,Biscoe,35.7,16.9,185,3150,female,2008
Adelie,Dream,38.9,18.8,190,3600,female,2008
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009
Gentoo,Biscoe,50.1,15,225,5000,male,2008
Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
Adelie,Biscoe,39.7,18.9,184,3550,male,2009
Chinstrap,Dream,46.2,17.5,187,3650,female,2008
Adelie,Dream,36,17.9,190,3450,female,2007
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
Chinstrap,Dream,49.8,17.3,198,3675,female,2009
Adelie,Torgersen,41.1,18.6,189,3325,male,2009
Adelie,Biscoe,37.6,17,185,3600,female,2008
Adelie,Biscoe,41.4,18.6,191,3700,male,2008
Chinstrap,Dream,47,17.3,185,3700,female,2007
Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
Adelie,Dream,36.5,18,182,3150,female,2007
Adelie,Dream,42.3,21.2,191,4150,male,2007
Chinstrap,Dream,45.7,17.3,193,3600,female,2009
Gentoo,Biscoe,46.5,14.8,217,5200,female,2008
Adelie,Biscoe,38.1,17,181,3175,female,2009
Adelie,Biscoe,35,17.9,192,3725,female,2009
Gentoo,Biscoe,49.5,16.2,229,5800,male,2008
Adelie,Dream,39.5,17.8,188,3300,female,2007
Adelie,Dream,36.2,17.3,187,3300,female,2008
Gentoo,Biscoe,47.5,14,212,4875,female,2009
Adelie,Torgersen,42.1,19.1,195,4000,male,2008
Gentoo,Biscoe,46.6,14.2,210,4850,female,2008
Chinstrap,Dream,47.5,16.8,199,3900,female,2008
Adelie,Torgersen,40.3,18,195,3250,female,2007
Adelie,Biscoe,40.6,18.6,183,3550,male,2007
Adelie,Dream,32.1,15.5,188,3050,female,2009
Gentoo,Biscoe,44.9,13.8,212,4750,female,2009
Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Chinstrap,Dream,49.5,19,200,3800,male,2008
